Date,RH,T_air,T_reflect,T_dry,T_low ,T_medium,T_high,T_wet,T_leaf
12:39:26 PM,35.8878253,23.09477809,23.62713,24.86146,22.43577,21.91699,21.43293,18.93422,21.138976
12:39:26 PM,35.88834187,23.09270096,23.64881,24.90479,22.47657,21.95888,21.4789,18.97804,21.182174
12:39:26 PM,35.88905906,23.09054561,23.65077,24.90968,22.49182,21.9714,21.48976,18.98931,21.190308
12:39:26 PM,35.88999655,23.08831211,23.63877,24.88773,22.47207,21.95516,21.4706,18.95873,21.170614
12:39:26 PM,35.89117402,23.08600053,23.63085,24.90154,22.4873,21.96354,21.48435,18.97441,21.18267
12:39:27 PM,35.89261112,23.08361093,23.65061,24.91106,22.48494,21.96828,21.48943,18.97438,21.190278
12:39:27 PM,35.89431959,23.08114549,23.69239,24.94753,22.50972,21.98712,21.51986,19.0071,21.213346
12:39:27 PM,35.89628751,23.07861272,23.67069,24.9122,22.49122,21.96686,21.48916,18.98039,21.188452
12:39:27 PM,35.89849861,23.07602227,23.65403,24.90603,22.48488,21.96159,21.48461,18.98183,21.184164
12:39:27 PM,35.9009366,23.0733838,23.63272,24.88447,22.46187,21.93997,21.4571,18.95394,21.162624
12:39:27 PM,35.90358522,23.07070699,23.65605,24.92214,22.49957,21.97225,21.49006,18.99563,21.201002
12:39:27 PM,35.90642818,23.06800149,23.65092,24.90756,22.48135,21.9539,21.46819,18.97982,21.183702
12:39:27 PM,35.90944922,23.06527696,23.62477,24.88445,22.45969,21.93221,21.45378,18.95621,21.161568
12:39:27 PM,35.91263205,23.06254307,23.64776,24.88731,22.4642,21.93044,21.45743,18.95543,21.165874
12:39:27 PM,35.91596039,23.05980948,23.61511,24.86929,22.4558,21.91882,21.44789,18.94222,21.150586
12:39:28 PM,35.91941797,23.05708585,23.6489,24.90093,22.48154,21.94687,21.46848,18.966,21.176536
12:39:28 PM,35.92298852,23.05438185,23.61728,24.86981,22.45395,21.92456,21.44483,18.94378,21.147728
12:39:28 PM,35.92665575,23.05170713,23.623,24.87951,22.45934,21.93017,21.45359,18.94827,21.154004
12:39:28 PM,35.93040339,23.04907136,23.68067,24.93601,22.5065,21.97988,21.50638,18.99833,21.202668
12:39:28 PM,35.93421516,23.04648421,23.65886,24.92482,22.50349,21.98105,21.50077,18.99999,21.201172
12:39:28 PM,35.9380748,23.04395532,23.67533,24.92319,22.49881,21.97003,21.49314,18.98543,21.196398
12:39:28 PM,35.941966,23.04149438,23.68843,24.94334,22.5182,21.9855,21.51156,19.00718,21.219712
12:39:28 PM,35.94587252,23.03911103,23.66995,24.94986,22.52745,21.99662,21.5182,19.02197,21.227204
12:39:28 PM,35.94977806,23.03681495,23.68467,24.92536,22.50495,21.97621,21.49314,18.99331,21.203026
12:39:28 PM,35.95366635,23.03461579,23.68807,24.94895,22.53391,21.99951,21.5232,19.0326,21.233336
12:39:29 PM,35.95752111,23.03252321,23.6977,24.94265,22.52899,21.98439,21.51809,19.03034,21.228862
12:39:29 PM,35.96132607,23.03054689,23.68699,24.93854,22.5214,21.97714,21.51107,19.02542,21.219028
12:39:29 PM,35.96506494,23.02869647,23.69246,24.9497,22.54042,21.99631,21.52496,19.04059,21.237232
12:39:29 PM,35.96872146,23.02698163,23.68841,24.95528,22.54268,22.00613,21.5312,19.04349,21.24419
12:39:29 PM,35.97227935,23.02541203,23.66218,24.91457,22.49664,21.95966,21.4896,18.99091,21.206792
